2025-07-20 13:50:59,842 - INFO - 🚀 Starting tracker server (attempt 1)
2025-07-20 13:50:59,842 - INFO - 🚀 Starting Super Metroid Tracker Server...
2025-07-20 13:50:59,845 - INFO - ✅ Server started successfully:
2025-07-20 13:50:59,845 - INFO -    📱 Tracker UI: http://localhost:3000/
2025-07-20 13:50:59,845 - INFO -    📊 API Status: http://localhost:3000/api/status
2025-07-20 13:50:59,845 - INFO -    📈 API Stats:  http://localhost:3000/api/stats
2025-07-20 13:50:59,845 - INFO -    ⏹️  Press Ctrl+C to stop
2025-07-20 13:53:01,152 - INFO - 🚀 Starting tracker server (attempt 1)
2025-07-20 13:53:01,152 - INFO - 🚀 Starting Super Metroid Tracker Server...
2025-07-20 13:53:01,156 - INFO - ✅ Server started successfully:
2025-07-20 13:53:01,156 - INFO -    📱 Tracker UI: http://localhost:3000/
2025-07-20 13:53:01,156 - INFO -    📊 API Status: http://localhost:3000/api/status
2025-07-20 13:53:01,156 - INFO -    📈 API Stats:  http://localhost:3000/api/stats
2025-07-20 13:53:01,156 - INFO -    ⏹️  Press Ctrl+C to stop
2025-07-20 14:16:03,563 - WARNING - No stats available, using fallback
2025-07-20 14:16:04,562 - WARNING - No stats available, using fallback
2025-07-20 14:16:05,566 - WARNING - No stats available, using fallback
2025-07-20 14:16:06,561 - WARNING - No stats available, using fallback
2025-07-20 14:16:07,567 - WARNING - No stats available, using fallback
2025-07-20 14:29:06,147 - WARNING - No stats available, using fallback
2025-07-20 14:29:07,013 - WARNING - No stats available, using fallback
2025-07-20 14:29:08,013 - WARNING - No stats available, using fallback
2025-07-20 14:29:09,020 - WARNING - No stats available, using fallback
2025-07-20 14:29:10,016 - WARNING - No stats available, using fallback
2025-07-20 14:29:11,017 - WARNING - No stats available, using fallback
2025-07-20 14:34:14,503 - WARNING - No stats available, using fallback
2025-07-20 14:35:14,496 - WARNING - No stats available, using fallback
2025-07-20 14:36:14,497 - WARNING - No stats available, using fallback
2025-07-20 14:37:14,498 - WARNING - No stats available, using fallback
2025-07-20 14:38:14,506 - WARNING - No stats available, using fallback
2025-07-20 14:39:14,502 - WARNING - No stats available, using fallback
2025-07-20 14:40:14,510 - WARNING - No stats available, using fallback
2025-07-20 14:41:14,512 - WARNING - No stats available, using fallback
2025-07-20 14:42:14,506 - WARNING - No stats available, using fallback
2025-07-20 14:43:14,507 - WARNING - No stats available, using fallback
2025-07-20 14:44:14,510 - WARNING - No stats available, using fallback
2025-07-20 14:45:14,509 - WARNING - No stats available, using fallback
2025-07-20 14:46:14,505 - WARNING - No stats available, using fallback
2025-07-20 14:47:14,504 - WARNING - No stats available, using fallback
2025-07-20 14:48:14,507 - WARNING - No stats available, using fallback
2025-07-20 14:49:14,511 - WARNING - No stats available, using fallback
2025-07-20 14:50:14,514 - WARNING - No stats available, using fallback
2025-07-20 14:51:14,517 - WARNING - No stats available, using fallback
2025-07-20 14:52:14,519 - WARNING - No stats available, using fallback
2025-07-20 14:53:14,506 - WARNING - No stats available, using fallback
2025-07-20 14:54:14,506 - WARNING - No stats available, using fallback
2025-07-20 14:55:14,509 - WARNING - No stats available, using fallback
2025-07-20 14:56:14,520 - WARNING - No stats available, using fallback
2025-07-20 14:57:14,514 - WARNING - No stats available, using fallback
2025-07-20 14:58:14,517 - WARNING - No stats available, using fallback
2025-07-20 14:59:14,519 - WARNING - No stats available, using fallback
2025-07-20 15:00:14,521 - WARNING - No stats available, using fallback
